20-40K·14薪,"2021春招-SLAM/VIO/三维重建算法研究员
北京·海淀区·西三旗
20-40K·14薪
在校/应届本科
S女士Recuiter",北京·海淀区·西三旗
15-25K·14薪,"搜索推荐算法工程师
北京·海淀区·五道口
15-25K·14薪
在校/应届本科
姜女士招聘经理",北京·海淀区·五道口
18-25K·16薪,"3D点云处理算法工程师
广州·黄埔区·科学城
18-25K·16薪
在校/应届硕士
李先生算法工程师",广州·黄埔区·科学城
20-40K·15薪,"MIG-三维重建研究员
杭州
20-40K·15薪
在校/应届本科
周先生招聘经理",杭州
30-50K·16薪,"算法工程师（2021届）
北京·朝阳区·定福庄
30-50K·16薪
在校/应届本科
邓女士HR",北京·朝阳区·定福庄
18-25K·13薪,"算法工程师（2021应届校招）
北京·朝阳区·望京
18-25K·13薪
在校/应届硕士
冯先生算法负责人",北京·朝阳区·望京
20-30K·13薪,"测试开发工程师
上海·普陀区·长征
20-30K·13薪
在校/应届本科
潘先生测试开发专家",上海·普陀区·长征
18-27K,"软件开发工程师
北京·海淀区·西北旺
18-27K
在校/应届本科
张先生项目组理，HR",北京·海淀区·西北旺
11-22K,"嵌入式软件工程师
北京·海淀区·五道口
11-22K
在校/应届硕士
甄女士人事主管",北京·海淀区·五道口
13-25K,"商业化策划（2021届）
北京
13-25K
在校/应届本科
陈女士HR",北京
15-30K,"嵌入式开发工程师-应届硕士北京落户
北京
15-30K
在校/应届硕士
路女士招聘主管",北京
22-27K·15薪,"春招-逻辑设计工程师 (MJ001189)
上海·浦东新区·张江
22-27K·15薪
在校/应届硕士
张女士HR",上海·浦东新区·张江
18-28K·15薪,"百度App搜索端移动研发工程师（上海）
上海·浦东新区·张江
18-28K·15薪
在校/应届本科
侯先生项目经理",上海·浦东新区·张江
15-25K·16薪,"通信算法工程师
北京·海淀区·西北旺
15-25K·16薪
在校/应届硕士
周女士HRBP",北京·海淀区·西北旺
25-50K·13薪,"web前端
北京·朝阳区·望京
25-50K·13薪
在校/应届本科
周先生高级前端开发专家",北京·朝阳区·望京
500-1000元/天,"后端开发实习生-抖音-可转正
北京
500-1000元/天
4天/周3个月本科
胡女士前端工程师",北京
15-30K,"2021-校招-Golang开发工程师
北京·东城区·东单
15-30K
在校/应届本科
戚女士HR",北京·东城区·东单
20-30K·13薪,"C++开发工程师
北京·海淀区·中关村
20-30K·13薪
在校/应届本科
俞先生招聘者",北京·海淀区·中关村
15-22K·14薪,"AI算法工程师（NLP）
南京
15-22K·14薪
在校/应届硕士
沈女士HR",南京
